"tier","base_bgg_id","base_name","expansion_id","expansion_name","is_fan","is_promo"
"S","122842","Exodus: Proxima Centauri","134231","Exodus: Generals","False","False"
"S","122842","Exodus: Proxima Centauri","265063","Exodus: Proxima Centauri – ECID-S14 Mini-Expansion","False","False"
"S","122842","Exodus: Proxima Centauri","237410","Exodus: Proxima Centauri – Ymnighet Mini-Expansion","False","False"
"A","198609","Fate of the Elder Gods","232966","Fate of the Elder Gods: Azathoth","False","False"
"A","198609","Fate of the Elder Gods","245975","Fate of the Elder Gods: Beasts From Beyond – Ghoul","False","False"
"A","198609","Fate of the Elder Gods","245973","Fate of the Elder Gods: Beasts From Beyond – Shan","False","False"
"A","198609","Fate of the Elder Gods","303887","Fate of the Elder Gods: Cerulean Tendril","False","False"
"S","345868","Federation","448124","Federation: Piracy","False","False"
"S","277659","Final Girl","438604","Final Girl: A Demon in the Shadows","False","False"
"S","277659","Final Girl","438601","Final Girl: A Rotten Harvest","False","False"
"S","277659","Final Girl","438599","Final Girl: Bad Times at Buddyland","False","False"
"S","277659","Final Girl","426353","Final Girl: Bleeding Heart","False","False"
"S","277659","Final Girl","402686","Final Girl: Carolyn's Revenge","False","False"
"S","277659","Final Girl","401734","Final Girl: Don't Make a Sound","False","False"
"S","277659","Final Girl","432907","Final Girl: Grandma's Grudge","False","False"
"S","277659","Final Girl","438625","Final Girl: Guest Stars","False","False"
"S","277659","Final Girl","401727","Final Girl: Hell to Pay","False","False"
"S","277659","Final Girl","382625","Final Girl: Lore & Scenario Book – Series 2","False","False"
"S","277659","Final Girl","432909","Final Girl: Lore & Scenario Book – Series 3","False","False"
"S","277659","Final Girl","410767","Final Girl: S3 Ultimate Box","False","False"
"S","277659","Final Girl","438606","Final Girl: S4 Ultimate Box","False","False"
"S","277659","Final Girl","383418","Final Girl: Series 1 Bonus Features Box","False","False"
"S","277659","Final Girl","383419","Final Girl: Series 2 Bonus Features Box","False","False"
"S","277659","Final Girl","438833","Final Girl: Series 3 Bonus Features Box","False","False"
"S","277659","Final Girl","438600","Final Girl: Shriek","False","False"
"S","277659","Final Girl","476057","Final Girl: Terror from Beyond","False","False"
"S","277659","Final Girl","401964","Final Girl: Terror from Destiny","False","False"
"S","277659","Final Girl","401729","Final Girl: The Falconwood Files","False","False"
"S","277659","Final Girl","438602","Final Girl: The Green Terror","False","False"
"S","277659","Final Girl","401724","Final Girl: The Killer from Tomorrow","False","False"
"S","277659","Final Girl","401731","Final Girl: The Marrek Murders","False","False"
"S","277659","Final Girl","401763","Final Girl: The North Pole Nightmare","False","False"
"S","277659","Final Girl","464502","Final Girl: The Raptor Games","False","False"
"A","138161","Firefly: The Game","145481","Firefly: The Game – Artful Dodger","False","False"
"A","138161","Firefly: The Game","147736","Firefly: The Game – Breakin' Atmo","False","False"
"A","138161","Firefly: The Game","176331","Firefly: The Game – Card Pack","False","False"
"A","138161","Firefly: The Game","212140","Firefly: The Game – Crime & Punishment","False","False"
"A","138161","Firefly: The Game","177496","Firefly: The Game – Esmeralda","False","False"
"A","138161","Firefly: The Game","177497","Firefly: The Game – Jetwash","False","False"
"A","138161","Firefly: The Game","151953","Firefly: The Game – Pirates & Bounty Hunters","False","False"
"S","391137","Galactic Cruise","443379","Galactic Cruise: Achievements","False","False"
"A","265188","Glen More II: Chronicles","326956","Glen More II: Chronicles – Feed the Kraken Mini Chronicle","False","False"
"A","233868","HATE","246987","HATE: The Mother Prophecy","False","False"
"A","233868","HATE","246990","HATE: Tribe of Sarrassa","False","False"
"A","233868","HATE","246989","HATE: Tribe of Um'Tull","False","False"
"A","233868","HATE","246988","HATE: Tribe of Vore Nash","False","False"
"A","321608","Hegemony: Lead Your Class to Victory","374250","Hegemony: Lead Your Class to Victory – Crisis & Control","False","False"
"A","321608","Hegemony: Lead Your Class to Victory","456369","Hegemony: Shadows of Authority","False","False"
"A","155821","Inis","418217","Inis: Nemed","False","False"
"S","347305","Inventions: Evolution of Ideas","421474","Inventions: Evolution of Ideas – Upgrade Pack","False","False"
"A","325494","ISS Vanguard","418446","Awaken Realms Vault: Story Dice – AR Board Game Dice Bundle Box","False","False"
"A","325494","ISS Vanguard","340235","ISS Vanguard: Deadly Frontier","False","False"
"A","325494","ISS Vanguard","402966","ISS Vanguard: Fearless Crew Mini-Expansion","False","False"
"A","325494","ISS Vanguard","386774","ISS Vanguard: Story Dice Expansion","False","False"
"A","284378","Kanban EV","321238","Kanban EV: Upgrade Pack","False","False"
"A","155065","Lifeform","253223","Lifeform: Calibos","False","False"
"A","155065","Lifeform","250774","Lifeform: Dragon's Domain","False","False"
"A","155065","Lifeform","251582","Lifeform: Thirteenth Passenger","False","False"
"S","348877","Lobotomy 2: Manhunt","438191","Lobotomy 2: Dimensions of Madness","False","False"
