"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1-5","1","100","7","6.000-6.999","266524","PARKS","7.999","6.999","2","1-5","2.1301","7.60802","","","System.Object[]","System.Object[]"
"1-4","2","100","7","6.000-6.999","331401","Dog Park","7.989","6.989","2","1-4","2.1618","6.86162","","","System.Object[]","System.Object[]"
"2","3","100","7","6.000-6.999","173346","7 Wonders Duel","7.979","6.979","1","2","2.2269","8.07418","","","System.Object[]","System.Object[]"
"2","4","100","7","6.000-6.999","54043","Jaipur","7.969","6.969","18","2","1.4633","7.47821","","","System.Object[]","System.Object[]"
"3-6","5","100","7","6.000-6.999","340466","Unfathomable","7.959","6.959","1","3-6","3.1268","7.45174","","","System.Object[]","System.Object[]"
"2-5","6","100","7","6.000-6.999","286160","Godspeed","7.949","6.949","2","2-5","2.75","6.99136","","","Science Fiction","System.Object[]"
"2-4","7","100","7","6.000-6.999","10630","Memoir '44","7.938","6.938","22","2-4","2.2723","7.52753","","","System.Object[]","System.Object[]"
"2-4","8","100","7","6.000-6.999","247143","Senshi","7.928","6.928","9","2-4","1.8333","6.13514","","","Abstract Strategy","Set Collection"
"1-4","9","100","7","6.000-6.999","276997","X-ODUS: Rise of the Corruption","7.918","6.918","1","1-4","3.3269","7.67617","","","System.Object[]","System.Object[]"
"2-4","10","100","7","6.000-6.999","265017","Tortuga 2199","7.908","6.908","3","2-4","2.5849","7.07683","","","System.Object[]","System.Object[]"
"1-6","11","100","7","6.000-6.999","226320","My Little Scythe","7.898","6.898","8","1-6","2.0146","7.19347","","","System.Object[]","System.Object[]"
"2","12","100","7","6.000-6.999","226631","War of the Worlds: The New Wave","7.888","6.888","1","2","2.2083","7.02503","","","System.Object[]","System.Object[]"
"1-6","13","100","7","6.000-6.999","258779","Planet Unknown","7.878","6.878","10","1-6","2.2514","7.75398","","","System.Object[]","System.Object[]"
"2-5","14","100","7","6.000-6.999","291453","SCOUT","7.868","6.868","8","2-5","1.3996","7.77344","","","Card Game","System.Object[]"
"2","15","100","7","6.000-6.999","163412","Patchwork","7.858","6.858","7","2","1.5996","7.57614","","","System.Object[]","System.Object[]"
"2-6","16","100","7","6.000-6.999","133848","Euphoria: Build a Better Dystopia","7.848","6.848","6","2-6","3.1107","7.15768","","","Science Fiction","System.Object[]"
"1-4","17","100","7","6.000-6.999","221194","Dinosaur Island","7.838","6.838","5","1-4","3.0467","7.5216","","","System.Object[]","System.Object[]"
"1-8","18","100","7","6.000-6.999","361545","Twilight Inscription","7.827","6.827","5","1-8","3.2304","7.39974","","","Science Fiction","System.Object[]"
"2-4","19","100","7","6.000-6.999","242574","Century: Eastern Wonders","7.817","6.817","4","2-4","2.1081","7.09708","","","Nautical","System.Object[]"
"1-2","20","100","7","6.000-6.999","289566","Hunted: Kobayashi Tower","7.807","6.807","4","1-2","2","6.83333","","","System.Object[]","System.Object[]"
"1-4","21","100","7","6.000-6.999","299178","Small Railroad Empires","7.797","6.797","4","1-4","2.3","6.5487","","","System.Object[]","System.Object[]"
"1-5","22","100","7","6.000-6.999","163967","Tiny Epic Galaxies","7.787","6.787","4","1-5","2.1536","7.3172","","","System.Object[]","System.Object[]"
"2","23","100","7","6.000-6.999","366495","Undaunted: Battle of Britain","7.777","6.777","6","2","2.7647","7.85335","","","System.Object[]","System.Object[]"
"1-7","24","100","7","6.000-6.999","248490","Atlantis Rising (Second Edition)","7.767","6.767","3","1-7","2.4726","7.47296","","","System.Object[]","System.Object[]"
"1-4","25","100","7","6.000-6.999","264052","Circadians: First Light","7.757","6.757","3","1-4","3.3684","7.5097","","","System.Object[]","System.Object[]"
"1","26","100","7","6.000-6.999","183571","Deep Space D-6","7.747","6.747","3","1","1.6639","7.13435","","","System.Object[]","System.Object[]"
"1-4","27","100","7","6.000-6.999","317859","Forests of Pangaia","7.737","6.737","3","1-4","2.3617","7.24231","","","System.Object[]","System.Object[]"
"2-4","28","100","7","6.000-6.999","242684","Reavers of Midgard","7.727","6.727","3","2-4","2.934","7.31857","","","","System.Object[]"
"1-4","29","100","7","6.000-6.999","307002","Regicide","7.716","6.716","3","1-4","1.9737","7.39092","","","System.Object[]","System.Object[]"
"2-4","30","100","7","6.000-6.999","298231","Skyrise","7.706","6.706","3","2-4","2.2474","7.6605","","","Territory Building","System.Object[]"
"2-4","31","100","7","6.000-6.999","284616","Small Samurai Empires","7.696","6.696","3","2-4","2.75","7.5275","","","System.Object[]","System.Object[]"
"4-8","32","100","7","6.000-6.999","142079","Space Cadets: Dice Duel","7.686","6.686","3","4-8","2.0865","6.73063","","","System.Object[]","System.Object[]"
"2-5","33","100","7","6.000-6.999","324856","The Crew: Mission Deep Sea","7.676","6.676","3","2-5","2.0558","8.03724","","","System.Object[]","System.Object[]"
"2","34","100","7","6.000-6.999","274364","Watergate","7.666","6.666","3","2","2.298","7.70236","","","System.Object[]","System.Object[]"
"1-4","35","100","7","6.000-6.999","231581","AuZtralia","7.656","6.656","2","1-4","2.8878","7.32928","","","System.Object[]","System.Object[]"
"1-4","36","100","7","6.000-6.999","356768","Bloc by Bloc: Uprising","7.646","6.646","2","1-4","2.5789","7.23263","","","System.Object[]","System.Object[]"
"2-4","37","100","7","6.000-6.999","317457","Dinosaur World","7.636","6.636","2","2-4","3.2733","7.30588","","","System.Object[]","System.Object[]"
"1-4","38","100","7","6.000-6.999","316554","Dune: Imperium","7.626","6.626","2","1-4","3.0791","8.40614","Need more plays to see if its a keeper","","System.Object[]","System.Object[]"
"2-4","39","100","7","6.000-6.999","315727","Last Light","7.616","6.616","2","2-4","2.7778","7.3189","","","System.Object[]","System.Object[]"
"1-4","40","100","7","6.000-6.999","340865","Lords of Ragnarok","7.605","6.605","2","1-4","3.8194","7.2661","","","System.Object[]","System.Object[]"
"1-4","41","100","7","6.000-6.999","306881","Railroad Ink Challenge: Lush Green Edition","7.595","6.595","2","1-4","2.1081","7.556","","","System.Object[]","System.Object[]"
"2-6","42","100","7","6.000-6.999","347117","Star Trek: Missions","7.585","6.585","2","2-6","2","6.74434","","","System.Object[]","System.Object[]"
"2-6","43","100","7","6.000-6.999","145976","Talon","7.575","6.575","2","2-6","2.6","7.36746","","","System.Object[]","System.Object[]"
"1-4","44","100","7","6.000-6.999","291508","Tiny Epic Dinosaurs","7.565","6.565","2","1-4","2.6383","7.27581","","","System.Object[]","System.Object[]"
"2","45","100","7","6.000-6.999","268864","Undaunted: Normandy","7.555","6.555","2","2","2.2727","7.75815","","","System.Object[]","System.Object[]"
